Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.0600","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","14.5400","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.0700","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.2800","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.0600","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.1200","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","12.7300","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.0000","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.5100","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.0400","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","14.7000","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.1200","01/06/2017 11:50:00",""
"31/05/2017 11:38:30","30/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.1900","01/06/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.1800","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","14.4400","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","14.9900","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.2300","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.1900","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.2800","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","13.1900","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.1400","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.5400","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.2400","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","14.8700","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.2800","31/05/2017 11:50:00",""
"30/05/2017 11:38:27","29/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.4400","31/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.3400","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","15.1200","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.5800","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","14.1200","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.3700","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.5200","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","14.4800","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.3200","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.7400","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.5000","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","15.2000","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.5200","30/05/2017 11:50:00",""
"29/05/2017 11:38:24","28/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.6700","30/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.5800","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","15.1200","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.8400","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","14.3800","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.6400","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","16.0800","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","14.6300","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.4700","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.8500","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.5000","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","15.2000","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","16.0800","29/05/2017 11:50:00",""
"28/05/2017 11:38:21","27/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.7100","29/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.6300","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","15.1200","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.9200","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","14.3800","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.7200","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","16.0800","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","14.6300","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.4700","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","16.0600","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.5000","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","15.2000","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","16.0800","28/05/2017 11:50:00",""
"27/05/2017 11:38:19","26/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","16.2300","28/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.5400","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","15.1200","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.9200","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","14.3800","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.6000","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.9400","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","14.1900","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.4700","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","16.0400","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.5000","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","15.2000","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.9400","27/05/2017 11:50:00",""
"26/05/2017 11:38:16","25/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.8600","27/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","16.2700","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","15.1200","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.5100","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.8200","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","16.2900","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.4000","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","13.0300","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","16.2400","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.7500","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","15.2000","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","15.0700","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.4000","26/05/2017 11:50:00",""
"25/05/2017 11:38:13","24/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","15.0500","26/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","15.8000","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","14.5300","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","15.0600","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.2500","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","15.7600","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","15.1200","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","12.2800","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","15.7200","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.3400","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","14.7500","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","14.5200","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","15.1200","25/05/2017 11:50:00",""
"24/05/2017 11:38:11","23/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","14.5200","25/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","15.7200","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","14.2100","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","14.8200","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.0600","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","15.6700","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","14.9200","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","12.0100","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","15.6200","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","15.1800","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","14.7000","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","14.1500","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","14.9200","24/05/2017 11:50:00",""
"23/05/2017 11:38:08","22/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","14.6100","24/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","14.7800","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","13.1500","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","13.2400","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","12.2100","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","14.6700","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","13.4500","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","11.8000","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","14.7500","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","14.5800","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","14.1000","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","12.9500","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","13.4500","23/05/2017 11:50:00",""
"22/05/2017 11:38:07","21/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","13.8400","23/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","13.5100","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","11.9200","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","12.0000","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","11.4800","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","13.3800","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","12.3000","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","11.4800","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","13.4900","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","13.8400","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","13.0100","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","11.7900","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","12.3000","22/05/2017 11:50:00",""
"21/05/2017 11:38:05","20/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","13.0300","22/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","13.5600","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","12.2700","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","12.3500","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","11.6100","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","13.4200","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","12.9400","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","11.9200","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","13.5300","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","13.9800","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","13.4500","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","12.1100","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","12.9400","21/05/2017 11:50:00",""
"20/05/2017 11:38:16","19/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","12.9700","21/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","14.7000","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","13.2300","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","13.3000","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","12.7400","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","14.5800","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","13.2700","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","12.0600","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","14.6600","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","14.3000","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","13.6400","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","12.7800","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","13.2700","20/05/2017 11:50:00",""
"19/05/2017 11:38:14","18/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","13.2000","20/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","15.5400","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","13.5900","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","13.7500","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(NO), D+1","13.0300","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(NT), D+1","15.4700","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(NW), D+1","13.7900","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(SC), D+1","12.2100","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(SE), D+1","15.4200","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(SO), D+1","14.9800","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(SW), D+1","13.8900","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(WM), D+1","13.0200","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(WN), D+1","13.7900","19/05/2017 11:50:00",""
"18/05/2017 11:38:11","17/05/2017","Composite Weather Variable, Actual, LDZ(WS), D+1","13.3000","19/05/2017 11:50:00",""
"17/05/2017 11:38:09","16/05/2017","Composite Weather Variable, Actual, LDZ(EA), D+1","15.8000","18/05/2017 11:50:00",""
"17/05/2017 11:38:09","16/05/2017","Composite Weather Variable, Actual, LDZ(EM), D+1","14.0600","18/05/2017 11:50:00",""
"17/05/2017 11:38:09","16/05/2017","Composite Weather Variable, Actual, LDZ(NE), D+1","14.6900","18/05/2017 11:50:00",""
