Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(EA), D+1","14.1300","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(EM), D+1","11.9700","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(NE), D+1","12.0800","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(NO), D+1","10.3900","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(NT), D+1","14.0100","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(NW), D+1","12.8600","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(SC), D+1","10.2800","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(SE), D+1","14.0500","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(SO), D+1","13.8000","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(SW), D+1","13.1700","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(WM), D+1","12.2700","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(WN), D+1","12.8600","01/06/2015 11:50:00",""
"31/05/2015 11:38:07","30/05/2015","Composite Weather Variable, Actual, LDZ(WS), D+1","13.0700","01/06/2015 11:50:00",""
"30/05/2015 11:38:07","29/05/2015","Composite Weather Variable, Actual, LDZ(EA), D+1","13.5900","31/05/2015 11:50:00",""
"30/05/2015 11:38:07","29/05/2015","Composite Weather Variable, Actual, LDZ(EM), D+1","11.3600","31/05/2015 11:50:00",""
"30/05/2015 11:38:07","29/05/2015","Composite Weather Variable, Actual, LDZ(NE), D+1","11.4300","31/05/2015 11:50:00",""
