Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","15.2500","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","13.2800","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","13.3500","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","11.5700","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","15.1600","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","14.9500","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","12.9100","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","15.1500","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","15.1600","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","14.6900","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","13.9700","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","14.9500","01/06/2016 11:50:00",""
"31/05/2016 11:39:29","30/05/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","15.1000","01/06/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","15.3200","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","13.0600","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","13.1400","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","11.1300","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","15.2200","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","14.7300","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","12.6900","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","15.1900","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","15.2700","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","14.7100","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","13.9100","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","14.7300","31/05/2016 11:50:00",""
"30/05/2016 11:39:22","29/05/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","15.0600","31/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","15.4800","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","13.0300","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","13.1100","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","11.3600","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","15.4000","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","14.1100","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","12.1900","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(SE), D+1","15.3600","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(SO), D+1","15.3300","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(SW), D+1","14.6600","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(WM), D+1","13.7600","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(WN), D+1","14.1100","30/05/2016 11:50:00",""
"29/05/2016 11:40:16","28/05/2016","Composite Weather Variable, Actual, LDZ(WS), D+1","15.0600","30/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(EA), D+1","15.4000","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(EM), D+1","12.7200","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(NE), D+1","12.8100","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(NO), D+1","11.0200","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(NT), D+1","15.3100","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(NW), D+1","13.7300","29/05/2016 11:50:00",""
"28/05/2016 11:40:10","27/05/2016","Composite Weather Variable, Actual, LDZ(SC), D+1","11.4600","29/05/2016 11:50:00",""
