Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (EA), D+6","13.6402","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (EM), D+6","15.7350","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (NE), D+6","10.2801","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (NO), D+6","8.5082","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (NT), D+6","16.7790","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (NW), D+6","19.0140","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (SC), D+6","14.0032","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (SE), D+6","16.8282","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (SO), D+6","12.2331","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (SW), D+6","9.0205","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (WM), D+6","13.2065","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (WN), D+6","1.8183","31/12/2017 12:00:00",""
"31/12/2017 11:38:03","25/12/2017","Demand Actual, LDZ (WS), D+6","6.6190","31/12/2017 12:00:00",""
"30/12/2017 11:38:03","24/12/2017","Demand Actual, LDZ (EA), D+6","14.1842","30/12/2017 12:00:00",""
"30/12/2017 11:38:03","24/12/2017","Demand Actual, LDZ (EM), D+6","16.3406","30/12/2017 12:00:00",""
"30/12/2017 11:38:03","24/12/2017","Demand Actual, LDZ (NE), D+6","10.5421","30/12/2017 12:00:00",""
"30/12/2017 11:38:03","24/12/2017","Demand Actual, LDZ (NO), D+6","8.8463","30/12/2017 12:00:00",""
