Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (EA), D+6","12.0761","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (EM), D+6","14.0194","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (NE), D+6","9.7393","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (NO), D+6","8.5213","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (NT), D+6","14.6497","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (NW), D+6","17.4432","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (SC), D+6","13.9740","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (SE), D+6","14.3431","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (SO), D+6","10.9396","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (SW), D+6","7.7938","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (WM), D+6","11.4179","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (WN), D+6","1.5339","31/12/2016 12:00:00",""
"31/12/2016 11:39:02","25/12/2016","Demand Actual, LDZ (WS), D+6","5.3775","31/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (EA), D+6","15.7843","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (EM), D+6","18.9270","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (NE), D+6","12.7988","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (NO), D+6","11.1486","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (NT), D+6","18.4338","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (NW), D+6","22.7295","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (SC), D+6","17.7537","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (SE), D+6","18.4454","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (SO), D+6","13.7602","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (SW), D+6","10.0956","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (WM), D+6","15.4214","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (WN), D+6","1.9660","30/12/2016 12:00:00",""
"30/12/2016 11:38:56","24/12/2016","Demand Actual, LDZ (WS), D+6","7.8762","30/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (EA), D+6","16.4309","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (EM), D+6","21.3377","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (NE), D+6","14.0376","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (NO), D+6","11.8858","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (NT), D+6","19.2982","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (NW), D+6","25.1366","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (SC), D+6","18.5573","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (SE), D+6","20.6399","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (SO), D+6","14.4525","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (SW), D+6","11.0638","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (WM), D+6","17.2836","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (WN), D+6","2.1570","29/12/2016 12:00:00",""
"29/12/2016 11:38:49","23/12/2016","Demand Actual, LDZ (WS), D+6","8.8468","29/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (EA), D+6","17.0864","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (EM), D+6","23.0156","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (NE), D+6","14.9286","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (NO), D+6","12.3134","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (NT), D+6","19.8618","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (NW), D+6","26.6961","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (SC), D+6","19.6726","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (SE), D+6","21.2356","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (SO), D+6","15.1224","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (SW), D+6","11.7488","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (WM), D+6","18.9300","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (WN), D+6","2.3324","28/12/2016 12:00:00",""
"28/12/2016 11:38:43","22/12/2016","Demand Actual, LDZ (WS), D+6","9.8770","28/12/2016 12:00:00",""
"27/12/2016 11:38:36","21/12/2016","Demand Actual, LDZ (EA), D+6","16.4902","27/12/2016 12:00:00",""
