Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (EA), D+6","6.7194","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (EM), D+6","9.5281","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NE), D+6","5.9476","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NO), D+6","5.1954","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NT), D+6","7.6531","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NW), D+6","12.5366","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SC), D+6","8.9601","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SE), D+6","7.6513","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SO), D+6","5.7724","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SW), D+6","4.0245","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WM), D+6","7.3244","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WN), D+6","1.0506","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WS), D+6","4.4482","01/06/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (EA), D+6","6.7194","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (EM), D+6","9.5281","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NE), D+6","5.9476","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NO), D+6","5.1954","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NT), D+6","7.6531","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (NW), D+6","12.5366","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SC), D+6","8.9601","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SE), D+6","7.6513","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SO), D+6","5.7724","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (SW), D+6","4.0245","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WM), D+6","7.3244","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WN), D+6","1.0506","31/05/2015 12:00:00",""
"31/05/2015 11:38:07","25/05/2015","Demand Actual, LDZ (WS), D+6","4.4482","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EA), D+6","5.7913","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EM), D+6","7.9888","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NE), D+6","5.1940","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NO), D+6","4.6890","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NT), D+6","6.6755","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NW), D+6","11.2416","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SC), D+6","8.9028","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SE), D+6","7.5782","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SO), D+6","5.2355","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SW), D+6","3.8106","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WM), D+6","6.3047","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WN), D+6","0.9341","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WS), D+6","4.3758","31/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EA), D+6","5.7913","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EA), D+6","5.7913","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EM), D+6","7.9888","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (EM), D+6","7.9888","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NE), D+6","5.1940","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NE), D+6","5.1940","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NO), D+6","4.6890","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NO), D+6","4.6890","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NT), D+6","6.6755","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NT), D+6","6.6755","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NW), D+6","11.2416","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (NW), D+6","11.2416","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SC), D+6","8.9028","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SC), D+6","8.9028","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SE), D+6","7.5782","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SE), D+6","7.5782","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SO), D+6","5.2355","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SO), D+6","5.2355","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SW), D+6","3.8106","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (SW), D+6","3.8106","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WM), D+6","6.3047","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WM), D+6","6.3047","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WN), D+6","0.9341","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WN), D+6","0.9341","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WS), D+6","4.3758","30/05/2015 12:00:00",""
"30/05/2015 11:38:07","24/05/2015","Demand Actual, LDZ (WS), D+6","4.3758","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EA), D+6","5.8654","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EA), D+6","5.8654","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EM), D+6","7.3955","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EM), D+6","7.3955","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NE), D+6","4.9197","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NE), D+6","4.9197","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NO), D+6","4.0144","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NO), D+6","4.0144","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NT), D+6","7.1505","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NT), D+6","7.1505","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NW), D+6","10.2275","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NW), D+6","10.2275","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SC), D+6","7.8286","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SC), D+6","7.8286","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SE), D+6","8.6783","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SE), D+6","8.6783","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SO), D+6","5.1279","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SO), D+6","5.1279","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SW), D+6","3.5470","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SW), D+6","3.5470","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WM), D+6","5.8276","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WM), D+6","5.8276","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WN), D+6","0.9210","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WN), D+6","0.9210","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WS), D+6","3.9585","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WS), D+6","3.9585","30/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EA), D+6","5.8654","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (EM), D+6","7.3955","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NE), D+6","4.9197","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NO), D+6","4.0144","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NT), D+6","7.1505","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (NW), D+6","10.2275","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SC), D+6","7.8286","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SE), D+6","8.6783","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SO), D+6","5.1279","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (SW), D+6","3.5470","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WM), D+6","5.8276","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WN), D+6","0.9210","29/05/2015 12:00:00",""
"29/05/2015 11:38:07","23/05/2015","Demand Actual, LDZ (WS), D+6","3.9585","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (EA), D+6","5.9012","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (EM), D+6","8.1356","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (NE), D+6","5.7891","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (NO), D+6","4.8186","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (NT), D+6","7.6065","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (NW), D+6","12.8719","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (SC), D+6","9.2531","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (SE), D+6","8.8607","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (SO), D+6","6.4848","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (SW), D+6","4.5149","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (WM), D+6","6.4691","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (WN), D+6","1.0954","29/05/2015 12:00:00",""
"28/05/2015 11:38:07","22/05/2015","Demand Actual, LDZ (WS), D+6","4.5606","29/05/2015 12:00:00",""
