Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (EA), D+6","8.4485","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (EM), D+6","12.6664","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (NE), D+6","9.0266","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (NO), D+6","7.5804","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (NT), D+6","10.0022","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (NW), D+6","13.7379","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (SC), D+6","9.0682","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (SE), D+6","9.6266","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (SO), D+6","7.2533","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (SW), D+6","5.0800","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (WM), D+6","9.2131","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (WN), D+6","1.3707","01/06/2016 12:00:00",""
"31/05/2016 11:39:29","25/05/2016","Demand Actual, LDZ (WS), D+6","7.5513","01/06/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (EA), D+6","6.5827","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (EM), D+6","9.1595","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (NE), D+6","6.6720","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (NO), D+6","5.6588","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (NT), D+6","7.8997","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (NW), D+6","10.0675","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (SC), D+6","7.9731","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (SE), D+6","7.6200","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (SO), D+6","5.9676","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (SW), D+6","4.2751","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (WM), D+6","6.5906","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (WN), D+6","1.1562","31/05/2016 12:00:00",""
"30/05/2016 11:39:22","24/05/2016","Demand Actual, LDZ (WS), D+6","6.6216","31/05/2016 12:00:00",""
