Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (EA), D+6","4.4115","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (EM), D+6","6.4764","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (NE), D+6","4.8578","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (NO), D+6","4.4697","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (NT), D+6","5.5781","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (NW), D+6","7.8056","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (SC), D+6","5.6859","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (SE), D+6","7.0624","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (SO), D+6","4.2468","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (SW), D+6","3.1744","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (WM), D+6","4.5530","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (WN), D+6","0.7313","01/06/2017 12:00:00",""
"31/05/2017 11:38:30","25/05/2017","Demand Actual, LDZ (WS), D+6","5.4793","01/06/2017 12:00:00",""
"30/05/2017 11:38:27","24/05/2017","Demand Actual, LDZ (EA), D+6","4.6274","31/05/2017 12:00:00",""
"30/05/2017 11:38:27","24/05/2017","Demand Actual, LDZ (EM), D+6","6.8396","31/05/2017 12:00:00",""
"30/05/2017 11:38:27","24/05/2017","Demand Actual, LDZ (NE), D+6","5.4510","31/05/2017 12:00:00",""
"30/05/2017 11:38:27","24/05/2017","Demand Actual, LDZ (NO), D+6","4.6055","31/05/2017 12:00:00",""
"30/05/2017 11:38:27","24/05/2017","Demand Actual, LDZ (NT), D+6","5.9378","31/05/2017 12:00:00",""
